time,NSW_419016
27/07/2007,21.363
28/07/2007,20.079
29/07/2007,18.171
30/07/2007,16.889
31/07/2007,15.81
1/08/2007,14.772
2/08/2007,13.869
3/08/2007,12.708
4/08/2007,12.021
5/08/2007,11.405
6/08/2007,10.479
7/08/2007,10.164
8/08/2007,10.018
9/08/2007,9.929
10/08/2007,9.174
11/08/2007,8.13
12/08/2007,7.517
13/08/2007,6.798
14/08/2007,6.363
15/08/2007,5.895
16/08/2007,5.478
17/08/2007,10.291
18/08/2007,15.842
19/08/2007,129.66
20/08/2007,115.291
21/08/2007,4214.434
22/08/2007,2690.159
23/08/2007,913.181
24/08/2007,459.171
25/08/2007,296.502
26/08/2007,213.638
27/08/2007,164.1
28/08/2007,129.298
29/08/2007,99.154
30/08/2007,79.544
31/08/2007,64.776
1/09/2007,53.729
2/09/2007,46.675
3/09/2007,41.373
4/09/2007,36.666
5/09/2007,32.848
6/09/2007,30.065
7/09/2007,28.15
8/09/2007,26.827
9/09/2007,25.59
10/09/2007,24.699
11/09/2007,22.348
12/09/2007,20.179
13/09/2007,17.342
14/09/2007,15.546
15/09/2007,14.511
16/09/2007,12.955
17/09/2007,10.993
18/09/2007,9.261
19/09/2007,8.348
20/09/2007,7.596
21/09/2007,6.431
22/09/2007,5.754
23/09/2007,5.448
24/09/2007,5.08
25/09/2007,4.972
26/09/2007,4.219
27/09/2007,3.685
28/09/2007,3.194
29/09/2007,2.63
30/09/2007,2.128
1/10/2007,1.665
2/10/2007,1.365
3/10/2007,1.094
4/10/2007,0.805
5/10/2007,0.623
6/10/2007,0.508
7/10/2007,0.335
8/10/2007,1.7
9/10/2007,2.694
10/10/2007,2.49
11/10/2007,2.621
12/10/2007,2.684
13/10/2007,3.335
14/10/2007,15.942
15/10/2007,6.778
16/10/2007,2.245
17/10/2007,1.083
18/10/2007,0.507
19/10/2007,0.317
20/10/2007,0.482
21/10/2007,0.645
22/10/2007,0.397
23/10/2007,0.298
24/10/2007,0.186
25/10/2007,0.701
26/10/2007,1.746
27/10/2007,1.107
28/10/2007,23.734
29/10/2007,12.629
30/10/2007,13.722
31/10/2007,12.355
1/11/2007,8.204
2/11/2007,7.953
3/11/2007,5.857
4/11/2007,22.136
5/11/2007,12.233
6/11/2007,42.43
7/11/2007,33.054
8/11/2007,35.012
9/11/2007,27.435
10/11/2007,24.678
11/11/2007,23.516
12/11/2007,30.989
13/11/2007,30.203
14/11/2007,20.193
15/11/2007,11.888
16/11/2007,7.794
17/11/2007,5.109
18/11/2007,3.138
19/11/2007,2.163
20/11/2007,1.475
21/11/2007,0.863
22/11/2007,0.599
23/11/2007,303.517
24/11/2007,263.389
25/11/2007,298.278
26/11/2007,260.528
27/11/2007,139.834
28/11/2007,66.39
29/11/2007,37.862
30/11/2007,29.024
1/12/2007,53.715
2/12/2007,224.647
3/12/2007,590.849
4/12/2007,1036.664
5/12/2007,1538.028
6/12/2007,658.73
7/12/2007,406.668
8/12/2007,230.086
9/12/2007,148.434
10/12/2007,122.138
11/12/2007,515.272
12/12/2007,1108.723
13/12/2007,426.526
14/12/2007,237.786
15/12/2007,140.397
16/12/2007,90.974
17/12/2007,227.308
18/12/2007,1014.723
19/12/2007,413.175
20/12/2007,207.135
21/12/2007,126.062
22/12/2007,87.089
23/12/2007,1460.964
24/12/2007,1967.047
25/12/2007,679.14
26/12/2007,346.605
27/12/2007,216.654
28/12/2007,162.365
29/12/2007,244.11
30/12/2007,168.717
31/12/2007,107.335
1/01/2008,73.936
2/01/2008,53.26
3/01/2008,41.394
4/01/2008,33.795
5/01/2008,28.574
6/01/2008,26.202
7/01/2008,26.976
8/01/2008,27.756
9/01/2008,30.211
10/01/2008,23.994
11/01/2008,17.865
12/01/2008,14.959
13/01/2008,12.392
14/01/2008,10.202
15/01/2008,8.164
16/01/2008,6.752
17/01/2008,13.727
18/01/2008,25.762
19/01/2008,33.86
20/01/2008,41.741
21/01/2008,41.67
22/01/2008,39.926
23/01/2008,38.371
24/01/2008,31.167
25/01/2008,22.874
26/01/2008,18.789
27/01/2008,25.33
28/01/2008,27.731
29/01/2008,16.416
30/01/2008,12.142
31/01/2008,10.267
1/02/2008,8.774
2/02/2008,30.941
3/02/2008,249.081
4/02/2008,259.38
5/02/2008,545.049
6/02/2008,2229.536
7/02/2008,1840.123
8/02/2008,1447.835
9/02/2008,728.864
10/02/2008,376.267
11/02/2008,227.046
12/02/2008,161.998
13/02/2008,633.664
14/02/2008,915.348
15/02/2008,463.089
16/02/2008,275.584
17/02/2008,185.135
18/02/2008,136.048
19/02/2008,108.7
20/02/2008,87.277
21/02/2008,72.368
22/02/2008,59.642
23/02/2008,49.412
24/02/2008,40.362
25/02/2008,33.148
26/02/2008,28.068
27/02/2008,24.112
28/02/2008,21.947
29/02/2008,29.365
1/03/2008,50.966
2/03/2008,59.079
3/03/2008,45.967
4/03/2008,33.957
5/03/2008,25.936
6/03/2008,20.688
7/03/2008,17.364
8/03/2008,14.123
9/03/2008,12.456
10/03/2008,10.823
11/03/2008,9.896
12/03/2008,8.667
13/03/2008,7.494
14/03/2008,6.822
15/03/2008,6.207
16/03/2008,5.2
17/03/2008,4.849
18/03/2008,4.46
19/03/2008,4.116
20/03/2008,3.724
21/03/2008,3.413
22/03/2008,3.457
23/03/2008,3.379
24/03/2008,3.671
25/03/2008,3.401
26/03/2008,4.642
27/03/2008,4.377
28/03/2008,3.99
29/03/2008,3.672
30/03/2008,3.363
31/03/2008,3.253
1/04/2008,2.984
2/04/2008,2.779
3/04/2008,2.662
4/04/2008,2.57
5/04/2008,2.257
6/04/2008,1.906
7/04/2008,1.644
8/04/2008,1.372
9/04/2008,1.185
10/04/2008,1.022
11/04/2008,0.83
12/04/2008,0.768
13/04/2008,0.722
14/04/2008,0.708
15/04/2008,0.658
16/04/2008,0.61
17/04/2008,0.47
18/04/2008,0.453
19/04/2008,0.5
20/04/2008,0.663
21/04/2008,0.813
22/04/2008,0.836
23/04/2008,0.733
24/04/2008,0.807
25/04/2008,1.142
26/04/2008,2.608
27/04/2008,3.17
28/04/2008,3.273
29/04/2008,3.021
30/04/2008,6.973
1/05/2008,6.152
2/05/2008,4.855
3/05/2008,3.88
4/05/2008,3.188
5/05/2008,2.695
6/05/2008,2.272
7/05/2008,1.959
8/05/2008,1.694
9/05/2008,1.43
10/05/2008,1.257
11/05/2008,1.158
12/05/2008,1.026
13/05/2008,0.901
14/05/2008,0.822
15/05/2008,0.78
16/05/2008,0.781
17/05/2008,1.037
18/05/2008,1.794
19/05/2008,1.55
20/05/2008,1.421
21/05/2008,2.628
22/05/2008,4.514
23/05/2008,4.853
24/05/2008,4.874
25/05/2008,4.179
26/05/2008,3.52
27/05/2008,2.975
28/05/2008,2.519
29/05/2008,2.156
30/05/2008,1.858
31/05/2008,1.674
1/06/2008,1.581
2/06/2008,1.436
3/06/2008,1.724
4/06/2008,14.2
5/06/2008,14.686
6/06/2008,22.64
7/06/2008,37.138
8/06/2008,19.512
9/06/2008,12.451
10/06/2008,9.572
11/06/2008,7.734
12/06/2008,6.704
13/06/2008,8.072
14/06/2008,13.717
15/06/2008,15.362
16/06/2008,29.416
17/06/2008,21.292
18/06/2008,18.861
19/06/2008,15.5
20/06/2008,21.205
21/06/2008,18.69
22/06/2008,14.554
23/06/2008,13.906
24/06/2008,16.812
25/06/2008,15.157
26/06/2008,12.824
27/06/2008,11.098
28/06/2008,10.064
29/06/2008,9.747
30/06/2008,9.136
1/07/2008,8.488
2/07/2008,7.95
3/07/2008,7.333
4/07/2008,6.857
5/07/2008,6.447
6/07/2008,5.907
7/07/2008,5.613
8/07/2008,5.774
9/07/2008,7.317
10/07/2008,8.748
11/07/2008,10.761
12/07/2008,24.86
13/07/2008,21.255
14/07/2008,17.721
15/07/2008,15.056
16/07/2008,15.652
17/07/2008,41.311
18/07/2008,40.511
19/07/2008,29.88
20/07/2008,21.381
21/07/2008,17.588
22/07/2008,15.666
23/07/2008,13.547
24/07/2008,13.272
25/07/2008,18.113
26/07/2008,15.013
27/07/2008,12.984
28/07/2008,13.344
29/07/2008,14.528
30/07/2008,15.004
31/07/2008,21.383
1/08/2008,26.256
2/08/2008,25.14
3/08/2008,36.089
4/08/2008,98.179
5/08/2008,85.431
6/08/2008,57.559
7/08/2008,44.293
8/08/2008,35.781
9/08/2008,30.878
10/08/2008,27.559
11/08/2008,25.363
12/08/2008,24.211
13/08/2008,22.859
14/08/2008,20.824
15/08/2008,19.168
16/08/2008,17.953
17/08/2008,16.758
18/08/2008,15.49
19/08/2008,14.341
20/08/2008,13.541
21/08/2008,12.805
22/08/2008,13.773
23/08/2008,21.193
24/08/2008,49.774
25/08/2008,135.436
26/08/2008,112.142
27/08/2008,74
28/08/2008,51.134
29/08/2008,38.643
30/08/2008,31.83
31/08/2008,27.543
1/09/2008,195.194
2/09/2008,1185.642
3/09/2008,423.305
4/09/2008,231.709
5/09/2008,154.834
6/09/2008,121.385
7/09/2008,104.684
8/09/2008,96.612
9/09/2008,84.916
10/09/2008,67.778
11/09/2008,53.416
12/09/2008,44.133
13/09/2008,37.693
14/09/2008,32.31
15/09/2008,32.442
16/09/2008,31.091
17/09/2008,31.737
18/09/2008,33.288
19/09/2008,26.14
20/09/2008,22.055
21/09/2008,19.484
22/09/2008,17.429
23/09/2008,21.149
24/09/2008,27.844
25/09/2008,38.431
26/09/2008,59.576
27/09/2008,41.996
28/09/2008,30.595
29/09/2008,24.316
30/09/2008,19.489
1/10/2008,16.261
2/10/2008,13.812
3/10/2008,12.059
4/10/2008,10.341
5/10/2008,10.196
6/10/2008,12.053
7/10/2008,47.611
8/10/2008,264.348
9/10/2008,171.943
10/10/2008,97.688
11/10/2008,65.192
12/10/2008,48.767
13/10/2008,44.87
14/10/2008,39.673
15/10/2008,143.654
16/10/2008,584.025
17/10/2008,271.683
18/10/2008,154.122
19/10/2008,103.469
20/10/2008,73.559
21/10/2008,53.43
22/10/2008,41.036
23/10/2008,34.398
24/10/2008,58.412
25/10/2008,70.57
26/10/2008,51.241
27/10/2008,34.953
28/10/2008,26.236
29/10/2008,20.296
30/10/2008,15.604
31/10/2008,13
1/11/2008,10.928
2/11/2008,10.912
3/11/2008,11.719
4/11/2008,18.37
5/11/2008,16.639
6/11/2008,48.434
7/11/2008,34.419
8/11/2008,21.821
9/11/2008,20.344
10/11/2008,16.1
11/11/2008,12.111
12/11/2008,9.743
13/11/2008,8.142
14/11/2008,6.735
15/11/2008,5.197
16/11/2008,4.72
17/11/2008,4.784
18/11/2008,6.4
19/11/2008,9.505
20/11/2008,15.527
21/11/2008,153.285
22/11/2008,147.569
23/11/2008,104.063
24/11/2008,111.48
